2026-08-08T13:04:49.137843+00:00	TestProj	phase 02-entity	attempt 1	failed=min_length,ingest_contract,entities_parse	repaired
2026-08-08T13:05:05.450585+00:00	X	phase 02-entity	attempt 1	failed=no_junk,ingest_contract,entities_parse	no_improvement
2026-08-08T16:21:04.423253+00:00	Aave	phase 09-behavioral	attempt 1	failed=ingest_contract,decisions_parse,behavior_sections	no_improvement
2026-08-08T23:44:04.314055+00:00	Helium	phase 09-behavioral	attempt 1	failed=behavior_sections	repaired
2026-08-09T00:10:01.374862+00:00	Compound	phase 09-behavioral	attempt 1	failed=behavior_sections	repaired
2026-08-09T07:37:36.150431+00:00	Aave	phase 11-conflict	attempt 1	failed=qa_parse,no_md_headers	partially_repaired
2026-08-09T07:45:56.007357+00:00	Aave	phase 11-conflict	attempt 2	failed=qa_parse	no_improvement
2026-08-09T08:03:10.405303+00:00	Aptos	phase 11-conflict	attempt 1	failed=qa_parse,no_md_headers	partially_repaired
2026-08-09T08:14:23.742696+00:00	Aptos	phase 11-conflict	attempt 2	failed=qa_parse	no_improvement
2026-08-09T08:32:55.333249+00:00	Avalanche	phase 11-conflict	attempt 1	failed=qa_parse,no_md_headers	partially_repaired
2026-08-10T05:33:50.452916+00:00	Blur	phase 12-airdrop	attempt 1	failed=airdrop_parse	no_improvement
2026-08-10T06:12:28.623009+00:00	Friend.tech	phase 11-conflict	attempt 1	failed=qa_parse,no_md_headers	repaired
2026-08-10T06:45:47.386862+00:00	Jito	phase 11-conflict	attempt 1	failed=qa_parse	repaired
2026-08-10T06:54:21.947694+00:00	Kamino	phase 11-conflict	attempt 1	failed=qa_parse,no_md_headers	repaired
2026-08-10T07:59:26.913825+00:00	MegaETH	phase 11-conflict	attempt 1	failed=qa_parse	repaired
2026-08-10T10:08:00.264336+00:00	Monad	phase 11-conflict	attempt 1	failed=qa_parse	repaired
2026-08-10T10:29:18.449026+00:00	Aave	phase 12-airdrop	attempt 1	failed=airdrop_parse	repaired
2026-08-10T17:00:20.019131+00:00	Polymarket	phase 12-airdrop	attempt 1	failed=no_junk,min_length,ingest_contract,airdrop_parse	repaired
2026-08-11T09:07:18.926744+00:00	Ethena	phase 12-airdrop	attempt 1	failed=price_block	no_improvement
2026-08-12T04:14:43.144370+00:00	Optimism	phase 01-foundation	attempt 1	failed=ingest_contract	repaired
2026-08-12T10:38:38.367395+00:00	SushiSwap	phase 01-foundation	attempt 1	failed=min_length,ingest_contract	repaired
2026-08-12T21:26:02.762923+00:00	Walrus	phase 01-foundation	attempt 1	failed=no_junk,ingest_contract	no_improvement
2026-08-12T21:28:32.360913+00:00	Walrus	phase 02-entity	attempt 1	failed=no_junk,ingest_contract,entities_parse	no_improvement
2026-08-12T21:31:10.337242+00:00	Walrus	phase 03-history	attempt 1	failed=no_junk,ingest_contract,events_parse	no_improvement
2026-08-12T21:33:43.109671+00:00	Walrus	phase 04-technology	attempt 1	failed=no_junk,ingest_contract	no_improvement
2026-08-12T21:36:57.309636+00:00	Walrus	phase 05-financial	attempt 1	failed=no_junk,ingest_contract	repaired
2026-08-12T21:39:53.349487+00:00	Walrus	phase 06-token	attempt 1	failed=no_junk,ingest_contract	no_improvement
2026-08-12T21:49:52.401726+00:00	Walrus	phase 07-ecosystem	attempt 1	failed=no_junk,ingest_contract	repaired
2026-08-12T21:56:46.825414+00:00	Walrus	phase 08-market	attempt 1	failed=no_junk,ingest_contract	repaired
2026-08-12T22:15:16.320450+00:00	Wormhole	phase 01-foundation	attempt 1	failed=ingest_contract	repaired
2026-08-13T00:14:03.038527+00:00	Yearn Finance	phase 01-foundation	attempt 1	failed=no_junk,ingest_contract	no_improvement
2026-08-13T00:28:33.171181+00:00	Yearn Finance	phase 02-entity	attempt 1	failed=no_junk,ingest_contract,entities_parse	no_improvement
2026-08-13T00:32:47.076036+00:00	Yearn Finance	phase 03-history	attempt 1	failed=no_junk,ingest_contract,events_parse	no_improvement
